LinkID,111_IN_11044-111,111_OUT_111-11044,112_IN_10304-112,112_IN_11086-112,112_OUT_112-10304,112_OUT_112-11086,121_IN_10952-121,121_IN_14021-121,121_OUT_121-10952,121_OUT_121-14021,285_IN_11127-285,285_IN_11129-285,285_IN_11579-285,285_IN_12855-285,285_OUT_285-11127,285_OUT_285-11129,285_OUT_285-11579,285_OUT_285-12855,286_IN_11577-286,286_IN_11691-286,286_IN_14432-286,286_IN_14433-286,286_OUT_286-11577,286_OUT_286-11691,286_OUT_286-14432,286_OUT_286-14433,287_IN_11691-287,287_IN_13671-287,287_IN_14232-287,287_IN_14708-287,287_OUT_287-11691,287_OUT_287-13671,287_OUT_287-14232,287_OUT_287-14708,288_IN_10031-288,288_IN_12274-288,288_IN_13662-288,288_IN_13811-288,288_OUT_288-10031,288_OUT_288-12274,288_OUT_288-13662,288_OUT_288-13811,289_IN_10376-289,289_IN_13471-289,289_IN_13473-289,289_IN_13666-289,289_OUT_289-10376,289_OUT_289-13471,289_OUT_289-13473,289_OUT_289-13666,290_IN_12288-290,290_IN_12699-290,290_IN_13476-290,290_IN_13918-290,290_OUT_290-12288,290_OUT_290-12699,290_OUT_290-13476,290_OUT_290-13918,291_IN_12288-291,291_IN_13471-291,291_IN_13476-291,291_IN_13666-291,291_OUT_291-12288,291_OUT_291-13471,291_OUT_291-13476,291_OUT_291-13666,292_IN_13270-292,292_IN_13635-292,292_IN_13643-292,292_IN_13802-292,292_OUT_292-13270,292_OUT_292-13635,292_OUT_292-13643,292_OUT_292-13802,293_IN_12331-293,293_IN_13485-293,293_IN_13918-293,293_IN_14537-293,293_OUT_293-12331,293_OUT_293-13485,293_OUT_293-13918,293_OUT_293-14537,299_IN_10016-299,299_IN_13441-299,299_OUT_299-10016,299_OUT_299-13441,300_IN_12334-300,300_IN_13440-300,300_IN_13444-300,300_IN_14307-300,300_OUT_300-12334,300_OUT_300-13440,300_OUT_300-13444,300_OUT_300-14307,301_IN_13397-301,301_IN_13435-301,301_IN_13807-301,301_OUT_301-13397,301_OUT_301-13435,301_OUT_301-13807,303_IN_10065-303,303_IN_10311-303,303_IN_14331-303,303_OUT_303-10065,303_OUT_303-10311,303_OUT_303-14331,5001_IN_11043-5001,5001_OUT_5001-11043,5002_IN_11381-5002,5002_OUT_5002-11381,5003_IN_11381-5003,5003_OUT_5003-11381,5004_IN_11155-5004,5004_OUT_5004-11155,5005_IN_10311-5005,5005_OUT_5005-10311,5006_IN_14536-5006,5006_OUT_5006-14536,5007_IN_13463-5007,5007_OUT_5007-13463,5009_IN_12598-5009,5009_OUT_5009-12598,5010_IN_10021-5010,5010_OUT_5010-10021,5011_IN_10311-5011,5011_OUT_5011-10311,5012_IN_10297-5012,5012_OUT_5012-10297,5013_IN_10302-5013,5013_OUT_5013-10302,5015_IN_11043-5015,5015_OUT_5015-11043,5016_IN_14307-5016,5016_OUT_5016-14307,5017_IN_11044-5017,5017_OUT_5017-11044,5021_OUT_5021-11158,5023_IN_10305-5023,5023_OUT_5023-10305,5025_OUT_5025-12040,5026_IN_11381-5026,5026_OUT_5026-11381,5027_IN_10304-5027,5027_OUT_5027-10304,5028_IN_10027-5028,5028_OUT_5028-10027,5031_IN_10063-5031,5031_OUT_5031-10063,5032_IN_10064-5032,5032_OUT_5032-10064,5034_IN_13440-5034,5034_OUT_5034-13440,5035_IN_10302-5035,5035_OUT_5035-10302,5036_IN_12598-5036,5036_OUT_5036-12598,5038_IN_10016-5038,5038_OUT_5038-10016,5040_IN_10065-5040,5040_OUT_5040-10065,5041_IN_10302-5041,5041_OUT_5041-10302,5042_IN_14537-5042,5042_OUT_5042-14537,5043_IN_98031-5043,5043_OUT_5043-98031,5044_IN_98031-5044,5044_OUT_5044-98031,5045_IN_11111-5045,5046_IN_11157-5046,9712_IN_10031-9712,9712_IN_98031-9712,9712_OUT_9712-10031,9712_OUT_9712-98031
10018-14536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9241741895675659,0.0,0.9241741895675659,0.0,0.9241741895675659,0.0,0.9241741895675659,0.0,0.9241741895675659,0.0,1.4699130058288574,0.0,3.6432301998138428,0.0,3.6432301998138428,0.0,3.6432301998138428,0.0,3.6432301998138428,0.0,3.6432301998138428,3.6432301998138428,0.0,3.6433653831481934,3.6433653831481934,0.0,3.6433653831481934,0.0,3.6433653831481934,0.0,3.6433653831481934,0.0,3.6433653831481934,0.0,5.53465461730957,0.0,5.53465461730957,0.0,5.53465461730957,0.0,5.53465461730957,0.0,5.53465461730957,0.0,5.53465461730957,0.0,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957,5.53465461730957
10019-11507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10019-13471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10019-13476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,4.463254928588867,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,11.04997730255127,9.054667472839355,11.050281524658203,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926
10020-11440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10020-11691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10020-13473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,9.054667472839355,9.054667472839355,9.054667472839355,0.0,0.0,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,0.0,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,2.0187907218933105,9.054667472839355,4.463254928588867,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,9.054667472839355,11.04997730255127,11.04997730255127,9.054667472839355,11.050281524658203,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,11.050281524658203,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,9.054667472839355,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926,14.589322090148926
10021-13270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021-13485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021-13635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235057473182678,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.6470423936843872,0.0,0.6470423936843872,0.0,0.6470423936843872,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,1.628045678138733,0.647169828414917,1.628045678138733,0.647169828414917,1.628045678138733,0.7726069688796997,1.628045678138733,1.031123161315918,1.628045678138733,1.031123161315918,1.628045678138733,1.031123161315918,1.628045678138733,1.628045678138733,1.031123161315918,1.628045678138733,1.628045678138733,1.031123161315918,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.101711392402649,1.628045678138733,1.101711392402649,1.628045678138733,1.101711392402649,1.628045678138733,1.101711392402649,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733
10021-5010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10024-10031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10024-13643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10024-13662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235057473182678,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.5306658148765564,0.5306658148765564,0.5306658148765564,0.0,0.0,0.0,0.6470423936843872,0.0,0.6470423936843872,0.0,0.6470423936843872,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,0.0,0.647169828414917,1.628045678138733,0.647169828414917,1.628045678138733,0.647169828414917,1.628045678138733,0.7726069688796997,1.628045678138733,1.031123161315918,1.628045678138733,1.031123161315918,1.628045678138733,1.031123161315918,1.628045678138733,1.628045678138733,1.031123161315918,1.628045678138733,1.628045678138733,1.031123161315918,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.1016943454742432,1.628045678138733,1.101711392402649,1.628045678138733,1.101711392402649,1.628045678138733,1.101711392402649,1.628045678138733,1.101711392402649,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733,1.628045678138733
